Destination,Condition,Month,Temperature,Festival,Holiday Season,Popularity Index
Ahmedabad,Heavy Rain,January,8.2,Yes,Yes,47
Dharamshala,Rain,March,15.4,Yes,No,48
Dharamshala,Clear,April,33.7,No,No,31
Kodaikanal,Clear,November,4.7,Yes,Yes,51
Kochi,Clouds,December,21.5,Yes,Yes,61
Hampi,Clouds,September,19.9,No,No,59
Srinagar,Rain,July,18.4,No,Yes,48
Jaipur,Clear,December,19,Yes,Yes,65
Statue of Unity (Kevadia),Clear,May,40.2,No,Yes,38
Chennai,Rain,January,7.5,Yes,Yes,47
Mysuru,Clear,December,13.7,Yes,Yes,77
Kolkata,Clear,November,19.4,Yes,Yes,70
Mumbai,Clear,August,26.2,Yes,No,30
Tirupati,Rain,November,24.3,Yes,Yes,73
Pune,Clear,June,32.6,No,Yes,41
Statue of Unity (Kevadia),Clear,June,32.8,No,Yes,40
Rameswaram,Rain,March,22.5,Yes,No,56
Jaisalmer,Clear,October,24,Yes,Yes,72
Ooty,Clouds,May,27.6,No,Yes,62
Visakhapatnam,Rain,August,19.4,Yes,No,54
Lucknow,Storm,August,24.4,Yes,No,42
Kodaikanal,Clear,December,7.6,Yes,Yes,45
Jaisalmer,Clear,November,21.1,Yes,Yes,73
Dwarka,Clear,June,24.9,No,Yes,50
Vijayawada,Clear,April,36.6,No,No,45
Darjeeling,Clear,August,21.4,Yes,No,44
Vaishno Devi (Katra),Snow,March,16,Yes,No,57
Nainital,Clear,September,12.8,No,No,29
Darjeeling,Rain,September,16.5,No,No,41
Tirupati,Clouds,December,16.3,Yes,Yes,69
Somnath,Fog,September,25.6,No,No,34
Lucknow,Clear,September,25,No,No,43
Darjeeling,Clear,October,10.7,Yes,Yes,54
Kolkata,Clear,December,23.2,Yes,Yes,72
Jaisalmer,Clear,December,10.1,Yes,Yes,67
Darjeeling,Clear,November,3.9,Yes,Yes,49
Mysuru,Rain,January,18.3,Yes,Yes,74
Kodaikanal,Rain,January,10.1,Yes,Yes,49
Coorg,Clouds,October,19.2,Yes,Yes,79
Kolkata,Rain,January,22.2,Yes,Yes,67
Ahmedabad,Clear,February,17.3,No,No,44
Dwarka,Clear,July,24.4,No,Yes,51
Mysuru,Clear,February,21.2,No,No,66
Mathura & Vrindavan,Clear,March,24.9,Yes,No,63
Shirdi,Clear,February,25.8,No,No,59
Mathura & Vrindavan,Clouds,April,34.8,No,No,41
Bengaluru,Clear,February,17.4,No,No,50
Rishikesh & Haridwar,Fog,October,23.6,Yes,Yes,60
Ajmer,Clear,January,10.6,Yes,Yes,52
Varanasi,Clear,May,28.3,No,Yes,34
Darjeeling,Fog,December,6.5,Yes,Yes,42
Kanyakumari,Clear,June,24.6,No,Yes,46
Prayagraj,Clear,September,31.5,No,No,48
Goa,Clouds,July,28.2,No,Yes,48
Lucknow,Clear,October,20.4,Yes,Yes,59
Goa,Clouds,August,27.6,Yes,No,52
Mysuru,Rain,March,22.9,Yes,No,72
Nashik,Rain,October,15.5,Yes,Yes,46
Shimla,Fog,July,10,No,Yes,19
Ahmedabad,Clear,March,32.5,Yes,No,48
Jaipur,Clear,January,17,Yes,Yes,59
Manali,Clear,February,10.8,No,No,34
Shimla,Rain,August,14,Yes,No,25
Srinagar,Clear,August,24.6,Yes,No,49
Ahmedabad,Heavy Rain,April,26.9,No,No,36
Mathura & Vrindavan,Clear,May,27.1,No,Yes,49
Rameswaram,Clear,April,24.5,No,No,43
Hampi,Clouds,October,23.2,Yes,Yes,75
Thiruvananthapuram,Rain,November,13.1,Yes,Yes,43
Dharamshala,Clear,May,35.4,No,Yes,31
Jaipur,Clear,February,27.1,No,No,52
Manali,Clear,March,6.1,Yes,No,42
Ayodhya,Clouds,June,31.2,No,Yes,39
Jodhpur,Clear,January,12.1,Yes,Yes,41
Ajmer,Rain,February,15.8,No,No,45
Mumbai,Heavy Rain,September,25,No,No,30
Tirupati,Rain,January,17.8,Yes,Yes,67
Kodaikanal,Clouds,February,5.1,No,No,40
Mumbai,Fog,October,26.6,Yes,Yes,45
Statue of Unity (Kevadia),Clouds,July,26.1,No,Yes,46
Coorg,Clear,November,18,Yes,Yes,80
Goa,Clear,September,28.5,No,No,53
Mathura & Vrindavan,Rain,June,28.3,No,Yes,43
Nashik,Clear,November,25.6,Yes,Yes,51
Ahmedabad,Clear,May,36.7,No,Yes,30
Pushkar,Clear,January,14.3,Yes,Yes,68
Pune,Clouds,July,29.7,No,Yes,45
Delhi,Clear,March,30.4,Yes,No,66
Ahmedabad,Clear,June,32.5,No,Yes,29
Ajmer,Clear,March,24.7,Yes,No,55
Alleppey,Clear,June,36.1,No,Yes,35
Ajmer,Clear,April,26.7,No,No,39
Kodaikanal,Rain,March,21.2,Yes,No,59
Vijayawada,Rain,May,35.5,No,Yes,47
Hampi,Clouds,November,22,Yes,Yes,76
Nainital,Clouds,October,13.2,Yes,Yes,44
Munnar,Heavy Rain,April,14.1,No,No,56
Agra,Clear,August,26.9,Yes,No,49
Ajmer,Clear,May,38.7,No,Yes,31
Hampi,Clear,December,10.8,Yes,Yes,72
Chennai,Clouds,February,9.2,No,No,39
Chennai,Rain,March,26,Yes,No,51
Mumbai,Clouds,November,10.2,Yes,Yes,41
Manali,Clear,April,17.7,No,No,45
Ooty,Rain,June,11.7,No,Yes,36
Rishikesh & Haridwar,Rain,November,17.5,Yes,Yes,60
Shimla,Rain,September,22.4,No,No,29
Manali,Fog,May,9,No,Yes,42
Srinagar,Clear,September,16.5,No,No,53
Lucknow,Clear,November,23,Yes,Yes,60
Pune,Clear,August,23.5,Yes,No,52
Jodhpur,Clear,February,15.2,No,No,34
Aurangabad,Clouds,April,31.2,No,No,25
Chennai,Clear,April,28.4,No,No,37
Bengaluru,Clear,March,17,Yes,No,57
Ajmer,Rain,June,33.4,No,Yes,31
Srinagar,Clear,October,19.7,Yes,Yes,70
Munnar,Rain,May,18,No,Yes,60
Mumbai,Rain,December,16.1,Yes,Yes,46
Shimla,Clear,October,18.4,Yes,Yes,45
Rishikesh & Haridwar,Fog,December,14.2,Yes,Yes,59
Madurai,Rain,January,18,Yes,Yes,58
Ayodhya,Rain,July,25.8,No,Yes,41
Munnar,Fog,June,21.8,No,Yes,47
Varanasi,Clouds,June,26.5,No,Yes,28
Ajmer,Clear,July,25.3,No,Yes,38
Kodaikanal,Rain,April,18.3,No,No,54
Madurai,Clouds,February,13,No,No,46
Vijayawada,Clear,June,28.7,No,Yes,49
Statue of Unity (Kevadia),Clouds,August,28.3,Yes,No,51
Kochi,Clear,January,21.8,Yes,Yes,57
Udaipur,Fog,October,14.8,Yes,Yes,59
Madurai,Clear,March,25.1,Yes,No,57
Statue of Unity (Kevadia),Clear,September,29.9,No,No,50
Ajmer,Clear,August,33,Yes,No,39
Prayagraj,Clear,October,25.9,Yes,Yes,67
Rameswaram,Clouds,May,31.4,No,Yes,37
Shirdi,Clear,March,17.7,Yes,No,67
Manali,Clouds,June,25.7,No,Yes,35
Mathura & Vrindavan,Clear,July,23.4,No,Yes,46
Agra,Clear,September,31.3,No,No,47
Ayodhya,Rain,August,25.1,Yes,No,48
Shirdi,Clear,April,37.5,No,No,46
Nashik,Clear,December,9.2,Yes,Yes,46
Udaipur,Clear,November,16.9,Yes,Yes,63
Chennai,Clear,May,29.8,No,Yes,37
Aurangabad,Clear,May,26.9,No,Yes,29
Coorg,Clear,December,22.6,Yes,Yes,82
Statue of Unity (Kevadia),Clouds,October,30,Yes,Yes,65
Kodaikanal,Clear,May,22.8,No,Yes,59
Manali,Heavy Snow,July,22.9,No,Yes,31
Ahmedabad,Clear,July,27.3,No,Yes,35
Darjeeling,Clear,January,7.6,Yes,Yes,46
Mysuru,Clear,April,34.4,No,No,52
Mumbai,Clouds,January,6.6,Yes,Yes,36
Delhi,Rain,April,21,No,No,52
Ayodhya,Clouds,September,24,No,No,50
Kolkata,Rain,February,20.3,No,No,57
Manali,Clouds,August,13,Yes,No,31
Nashik,Clear,January,11.3,Yes,Yes,43
Vijayawada,Clear,July,30.4,No,Yes,49
Jodhpur,Clear,March,33.1,Yes,No,36
Coorg,Clear,January,8.9,Yes,Yes,71
Vaishno Devi (Katra),Snow,April,22.4,No,No,44
Statue of Unity (Kevadia),Clear,November,15.8,Yes,Yes,66
Bengaluru,Heavy Rain,April,36.7,No,No,35
Dharamshala,Clear,June,25.6,No,Yes,33
Jaipur,Rain,March,30.4,Yes,No,55
Manali,Clouds,September,13.7,No,No,32
Kodaikanal,Clear,June,21.1,No,Yes,44
Vijayawada,Clouds,August,29.9,Yes,No,55
Lucknow,Clear,December,23.9,Yes,Yes,62
Ooty,Clouds,July,10.9,No,Yes,38
Somnath,Clouds,October,16.2,Yes,Yes,51
Amritsar,Clouds,February,22.8,No,No,57
Munnar,Clouds,July,16.5,No,Yes,42
Jodhpur,Clear,April,23.9,No,No,29
Hampi,Rain,January,16.5,Yes,Yes,70
Kodaikanal,Rain,July,17.9,No,Yes,39
Chennai,Clouds,June,23.8,No,Yes,34
Visakhapatnam,Clouds,September,23.7,No,No,55
Pushkar,Clear,February,23.8,No,No,62
Kodaikanal,Clouds,August,19.6,Yes,No,45
Lucknow,Rain,January,14.3,Yes,Yes,53
Chennai,Clouds,July,23,No,Yes,35
Rameswaram,Rain,June,21.8,No,Yes,33
Munnar,Clouds,August,14.1,Yes,No,45
Kodaikanal,Rain,September,9.6,No,No,39
Coorg,Clear,February,15.9,No,No,66
Goa,Clear,October,19.8,Yes,Yes,74
Amritsar,Clear,March,28.1,Yes,No,67
Nainital,Fog,November,11.7,Yes,Yes,41
Manali,Clouds,October,7.7,Yes,Yes,44
Bengaluru,Clear,May,32.6,No,Yes,40
Somnath,Clear,November,16.9,Yes,Yes,53
Udaipur,Fog,December,5.5,Yes,Yes,56
Bengaluru,Clear,June,26.3,No,Yes,40
Dharamshala,Rain,July,30,No,Yes,32
Ooty,Clouds,August,17.2,Yes,No,46
Mumbai,Clouds,February,17.5,No,No,33
Vaishno Devi (Katra),Rain,May,22.3,No,Yes,46
Hampi,Clear,February,12.4,No,No,59
Hampi,Rain,March,15.4,Yes,No,67
Vijayawada,Clear,September,29.8,No,No,56
Rameswaram,Heavy Rain,July,22.6,No,Yes,33
Pushkar,Clear,March,28.3,Yes,No,69
Kanyakumari,Rain,July,23.6,No,Yes,44
Goa,Rain,November,10.3,Yes,Yes,69
Srinagar,Clear,November,18.5,Yes,Yes,68
Mysuru,Clear,May,28.5,No,Yes,58
Goa,Storm,December,14.9,Yes,Yes,74
Bengaluru,Clear,July,31,No,Yes,39
Jaipur,Rain,April,32.4,No,No,38
Pune,Rain,September,24.2,No,No,52
Nainital,Clear,December,13.7,Yes,Yes,36
Hampi,Rain,April,24.8,No,No,54
Agra,Rain,October,16.1,Yes,Yes,62
Bengaluru,Clear,August,26,Yes,No,47
Manali,Clouds,November,7.6,Yes,Yes,43
Vijayawada,Clear,October,28.7,Yes,Yes,72
Rishikesh & Haridwar,Heavy Snow,January,10.4,Yes,Yes,53
Prayagraj,Fog,November,21.8,Yes,Yes,67
Alleppey,Rain,July,20.9,No,Yes,40
Kochi,Clear,February,11.8,No,No,43
Chennai,Heavy Rain,August,23.1,Yes,No,40
Udaipur,Rain,January,22.4,Yes,Yes,60
Shirdi,Clear,May,37.3,No,Yes,43
Shirdi,Clear,June,26.4,No,Yes,46
Kodaikanal,Rain,October,11.5,Yes,Yes,55
Hampi,Clear,May,40.9,No,Yes,45
Ahmedabad,Clear,August,22.7,Yes,No,40
Jaipur,Clear,May,34.7,No,Yes,38
Chennai,Storm,September,23.8,No,No,41
Darjeeling,Clouds,February,3.8,No,No,37
Kochi,Clouds,March,29.2,Yes,No,53
Ayodhya,Clear,October,30.4,Yes,Yes,66
Pune,Rain,October,27.2,Yes,Yes,67
Rishikesh & Haridwar,Clear,February,23.6,No,No,50
Kodaikanal,Clear,November,11.6,Yes,Yes,55
Rameswaram,Clear,August,33,Yes,No,37
Ahmedabad,Clear,September,26.6,No,No,41
Hampi,Clear,June,34.9,No,Yes,46
Jodhpur,Clear,May,34.4,No,Yes,25
Rameswaram,Heavy Rain,September,22.5,No,No,41
Dwarka,Clouds,August,20.2,Yes,No,57
Coorg,Rain,March,26.9,Yes,No,74
Prayagraj,Rain,December,14,Yes,Yes,65
Prayagraj,Clear,January,20,Yes,Yes,65
Kodaikanal,Rain,December,1.9,Yes,Yes,41
Shirdi,Rain,July,21.6,No,Yes,45
Mysuru,Clouds,June,34.1,No,Yes,49
Tirupati,Fog,February,9.9,No,No,53
Kanyakumari,Clear,August,28.8,Yes,No,48
Shimla,Clouds,November,15.2,Yes,Yes,41
Mysuru,Clear,July,33.3,No,Yes,51
Lucknow,Fog,February,23.1,No,No,47
Nainital,Fog,January,3.6,Yes,Yes,32
Pune,Clear,November,27.7,Yes,Yes,70
Darjeeling,Clear,March,16.8,Yes,No,56
Udaipur,Clear,February,27.1,No,No,52
Delhi,Clear,May,30.7,No,Yes,52
Tirupati,Clear,March,20.3,Yes,No,70
Prayagraj,Clear,February,22.8,No,No,56
Bengaluru,Clouds,September,19.2,No,No,47
Hampi,Rain,July,30.1,No,Yes,51
Amritsar,Storm,April,32.3,No,No,49
Hampi,Rain,August,27.2,Yes,No,58
Dharamshala,Clouds,August,31.4,Yes,No,37
Varanasi,Clouds,July,26.4,No,Yes,28
Statue of Unity (Kevadia),Fog,December,6.4,Yes,Yes,61
Goa,Clear,January,17.2,Yes,Yes,74
Rishikesh & Haridwar,Fog,March,17.8,Yes,No,54
Jaipur,Rain,June,22.7,No,Yes,39
Jaisalmer,Clear,January,11.9,Yes,Yes,67
Nashik,Clear,February,15.6,No,No,36
Ooty,Clear,September,19.2,No,No,48
Ooty,Clear,October,14.8,Yes,Yes,61
Ayodhya,Clear,November,17.4,Yes,Yes,68
Ooty,Fog,November,14.8,Yes,Yes,59
Coorg,Clear,April,31.4,No,No,56
Dharamshala,Fog,September,26.9,No,No,40
Varanasi,Clouds,August,27.2,Yes,No,35
Madurai,Clouds,April,35.6,No,No,35
Vaishno Devi (Katra),Rain,June,30,No,Yes,40
Amritsar,Clouds,May,38.1,No,Yes,41
Alleppey,Clear,August,32.1,Yes,No,41
Vijayawada,Rain,November,13.9,Yes,Yes,70
Jaipur,Clouds,July,21.7,No,Yes,41
Mathura & Vrindavan,Clear,August,34,Yes,No,46
Jaipur,Clouds,August,20.8,Yes,No,46
Kanyakumari,Rain,September,25.5,No,No,48
Manali,Clouds,December,10.7,Yes,Yes,37
Dharamshala,Clouds,October,17.5,Yes,Yes,54
Nainital,Clouds,February,3.8,No,No,26
Rishikesh & Haridwar,Clouds,April,20.2,No,No,41
Shirdi,Rain,August,24.3,Yes,No,52
Nainital,Clear,March,22.5,Yes,No,47
Tirupati,Fog,April,29,No,No,54
Kanyakumari,Clear,October,22.5,Yes,Yes,71
Darjeeling,Clear,April,24.8,No,No,55
Dwarka,Clouds,September,22.3,No,No,57
Pushkar,Clear,April,35.2,No,No,47
Ayodhya,Rain,December,7.2,Yes,Yes,58
Dwarka,Rain,October,19.6,Yes,Yes,72
Agra,Rain,November,21.2,Yes,Yes,66
Bengaluru,Clear,October,18.2,Yes,Yes,62
Jaisalmer,Clear,February,18,No,No,61
Lucknow,Clear,March,16.1,Yes,No,52
Kolkata,Rain,March,15.4,Yes,No,61
Bengaluru,Rain,November,23.5,Yes,Yes,63
Coorg,Clouds,May,35.4,No,Yes,54
Nashik,Clear,March,19.8,Yes,No,45
Mumbai,Rain,March,23.2,Yes,No,41
Coorg,Clear,June,34.1,No,Yes,51
Aurangabad,Clear,June,37.5,No,Yes,16
Rishikesh & Haridwar,Clear,May,37.9,No,Yes,34
Kodaikanal,Rain,January,3.1,Yes,Yes,44
Jaipur,Rain,September,27.3,No,No,46
Varanasi,Fog,September,21.5,No,No,34
Aurangabad,Clear,July,33.4,No,Yes,21
Bengaluru,Clear,December,13,Yes,Yes,62
Srinagar,Rain,December,2.9,Yes,Yes,50
Visakhapatnam,Rain,October,28.9,Yes,Yes,69
Hampi,Rain,September,19.3,No,No,58
Delhi,Clear,June,25.9,No,Yes,50
Mathura & Vrindavan,Clear,September,22.3,No,No,52
Manali,Clear,January,13.4,Yes,Yes,42
Vijayawada,Clear,December,11.9,Yes,Yes,71
Mysuru,Clear,August,30.8,Yes,No,59
Rameswaram,Clear,October,18.8,Yes,Yes,59
Tirupati,Clear,May,36.3,No,Yes,45
Aurangabad,Rain,August,19.5,Yes,No,30
Udaipur,Clear,March,24.9,Yes,No,58
Jodhpur,Clear,June,35.6,No,Yes,13
Nashik,Clear,April,30,No,No,28
Prayagraj,Storm,March,24.6,Yes,No,61
Nainital,Clouds,April,27.9,No,No,43
Hampi,Rain,October,18.7,Yes,Yes,73
Kodaikanal,Clouds,February,8.6,No,No,42
Shimla,Rain,December,2.4,Yes,Yes,20
Chennai,Rain,October,22.8,Yes,Yes,56
Ajmer,Fog,September,17.2,No,No,41
Hampi,Clouds,November,20.8,Yes,Yes,76
Coorg,Rain,July,19.4,No,Yes,56
Kochi,Clear,April,32.6,No,No,34
Visakhapatnam,Heavy Rain,November,12.8,Yes,Yes,68
Shirdi,Clear,September,30.5,No,No,51
Mumbai,Clouds,April,30.7,No,No,23
Jaipur,Rain,October,26.3,Yes,Yes,62
Munnar,Rain,September,7.8,No,No,41
Visakhapatnam,Rain,December,16.9,Yes,Yes,71
Dwarka,Clear,November,21.7,Yes,Yes,74
Agra,Rain,December,11.3,Yes,Yes,62
Ahmedabad,Clouds,October,29.3,Yes,Yes,55
Prayagraj,Fog,April,25.4,No,No,45
Visakhapatnam,Rain,January,13.1,Yes,Yes,64
Coorg,Clear,August,31.4,Yes,No,60
Kodaikanal,Fog,March,8.3,Yes,No,52
Delhi,Clouds,July,21.2,No,Yes,51
Varanasi,Clear,October,31.9,Yes,Yes,51
Visakhapatnam,Storm,February,18,No,No,58
Chennai,Clouds,November,22.7,Yes,Yes,58
Ajmer,Clear,October,18.1,Yes,Yes,58
Hampi,Clouds,December,20.8,Yes,Yes,78
Pune,Rain,December,12.4,Yes,Yes,66
Munnar,Rain,October,12.8,Yes,Yes,59
Lucknow,Clear,April,27,No,No,39
Dharamshala,Clear,November,12.7,Yes,Yes,53
Chennai,Heavy Rain,December,21.2,Yes,Yes,59
Munnar,Rain,November,6.7,Yes,Yes,54
Dwarka,Fog,December,19.2,Yes,Yes,74
Pune,Rain,January,9.3,Yes,Yes,59
Amritsar,Rain,June,22.6,No,Yes,43
Shimla,Clear,January,2.8,Yes,Yes,30
Prayagraj,Clouds,May,27.5,No,Yes,48
Coorg,Clear,September,30.5,No,No,62
Nashik,Clear,May,35.6,No,Yes,24
Udaipur,Clear,April,32,No,No,39
Shirdi,Clear,October,27.8,Yes,Yes,72
Aurangabad,Rain,September,19.8,No,No,31
Statue of Unity (Kevadia),Clear,January,9,Yes,Yes,59
Manali,Rain,February,4.4,No,No,29
Pune,Clear,February,15.5,No,No,54
Madurai,Rain,May,36.2,No,Yes,35
Srinagar,Rain,January,12.8,Yes,Yes,59
Lucknow,Clear,May,29.5,No,Yes,39
Udaipur,Clear,May,29.4,No,Yes,43
Jaisalmer,Clear,March,16.3,Yes,No,64
Kochi,Clear,May,26.7,No,Yes,40
Rishikesh & Haridwar,Fog,June,23,No,Yes,37
Ooty,Clear,December,7.4,Yes,Yes,48
Shirdi,Rain,November,18,Yes,Yes,71
Mysuru,Clear,September,24.9,No,No,62
Thiruvananthapuram,Rain,December,17,Yes,Yes,47
Manali,Clear,March,13.4,Yes,No,46
Shimla,Clear,February,16.9,No,No,31
Rishikesh & Haridwar,Clear,July,22.7,No,Yes,39
Somnath,Rain,December,14.4,Yes,Yes,48
Vijayawada,Clouds,January,21.3,Yes,Yes,71
Mathura & Vrindavan,Fog,October,16.3,Yes,Yes,64
Dharamshala,Rain,December,6.2,Yes,Yes,50
Statue of Unity (Kevadia),Rain,February,17.8,No,No,54
Udaipur,Rain,June,31.5,No,Yes,36
Ahmedabad,Clouds,November,24.3,Yes,Yes,57
Ajmer,Clouds,November,16.1,Yes,Yes,58
Dharamshala,Snow,January,8.6,Yes,Yes,46
Jodhpur,Clouds,July,21.8,No,Yes,20
Manali,Clear,April,21.1,No,No,47
Thiruvananthapuram,Rain,January,8.9,Yes,Yes,37
Pune,Clouds,March,19.1,Yes,No,63
Ooty,Clouds,January,2,Yes,Yes,47
Shirdi,Clear,December,17.6,Yes,Yes,69
Srinagar,Clouds,February,3.4,No,No,47
Manali,Rain,May,23,No,Yes,49
Delhi,Clear,August,23.1,Yes,No,57
Dharamshala,Clear,February,17.7,No,No,44
Chennai,Rain,January,9.8,Yes,Yes,48
Alleppey,Rain,September,19.1,No,No,44
Jodhpur,Clear,August,23.9,Yes,No,26
Ahmedabad,Fog,December,7.7,Yes,Yes,51
Manali,Clear,June,26.1,No,Yes,30
Ahmedabad,Clouds,January,21.9,Yes,Yes,54
Ooty,Clear,February,14.3,No,No,48
Ayodhya,Rain,January,9.1,Yes,Yes,58
Nashik,Clear,June,25.9,No,Yes,26
Tirupati,Rain,June,21.7,No,Yes,46
Pune,Rain,April,24.2,No,No,47
Jodhpur,Clear,September,30.4,No,No,26
Aurangabad,Rain,October,21.4,Yes,Yes,47
Bengaluru,Clouds,January,17.4,Yes,Yes,60
Hampi,Clouds,January,13.3,Yes,Yes,69
Prayagraj,Clear,June,30.4,No,Yes,41
Kodaikanal,Rain,April,18.4,No,No,54
Somnath,Heavy Rain,January,18.9,Yes,Yes,49
Prayagraj,Rain,July,22,No,Yes,44
Nashik,Clear,July,23.2,No,Yes,28
Kodaikanal,Clear,May,24.7,No,Yes,59
Varanasi,Clear,November,25.7,Yes,Yes,55
Udaipur,Clear,July,22.4,No,Yes,41
Jaisalmer,Clear,April,33.5,No,No,50
Jaisalmer,Clear,May,39.6,No,Yes,46
Delhi,Clear,September,30.9,No,No,54
Delhi,Fog,October,25.7,Yes,Yes,71
Ajmer,Clear,December,18.8,Yes,Yes,62
Pushkar,Clear,May,35.3,No,Yes,48
Shirdi,Clear,January,19.4,Yes,Yes,68
Vaishno Devi (Katra),Clouds,July,20.9,No,Yes,44
Dwarka,Rain,January,7.8,Yes,Yes,63
Tirupati,Clear,July,22.2,No,Yes,47
Agra,Heavy Rain,January,22.8,Yes,Yes,63
Jodhpur,Clear,October,24.2,Yes,Yes,46
Prayagraj,Clear,August,26.5,Yes,No,51
Ayodhya,Clouds,February,9.2,No,No,49
Shirdi,Clouds,February,8.3,No,No,52
Vaishno Devi (Katra),Fog,August,21,Yes,No,48
Jaipur,Clear,November,17.7,Yes,Yes,63
Rameswaram,Clear,November,21.8,Yes,Yes,61
Somnath,Rain,February,15.5,No,No,37
Kanyakumari,Clear,November,12.8,Yes,Yes,68
Aurangabad,Clouds,November,24.5,Yes,Yes,49
Munnar,Clouds,December,-0.1,Yes,Yes,43
Mysuru,Clear,October,18.7,Yes,Yes,77
Pushkar,Clouds,June,29.9,No,Yes,48
Bengaluru,Heavy Rain,February,20.7,No,No,51
Rameswaram,Clouds,December,8.1,Yes,Yes,51
Lucknow,Heavy Rain,June,28.3,No,Yes,35
Agra,Clear,February,16.6,No,No,52
Prayagraj,Clouds,September,26.2,No,No,51
Bengaluru,Clear,March,21.4,Yes,No,58
Ooty,Clear,March,24,Yes,No,63
Lucknow,Clouds,July,30.3,No,Yes,35
Kanyakumari,Clear,December,8,Yes,Yes,67
Rishikesh & Haridwar,Rain,August,29.5,Yes,No,43
Srinagar,Heavy Snow,March,22.8,Yes,No,68
Madurai,Clear,June,35.8,No,Yes,32
Hampi,Clear,February,20.4,No,No,64
Coorg,Rain,October,25.8,Yes,Yes,78
Udaipur,Clouds,August,20.9,Yes,No,47
Pune,Storm,May,37.4,No,Yes,41
Aurangabad,Clear,December,16.9,Yes,Yes,49
Rameswaram,Clouds,January,21.2,Yes,Yes,57
Alleppey,Clouds,October,26.2,Yes,Yes,67
Darjeeling,Clear,May,15.7,No,Yes,55
Vijayawada,Rain,February,7.2,No,No,53
Munnar,Heavy Rain,January,10.8,Yes,Yes,53
Kochi,Heavy Rain,June,33.4,No,Yes,30
Dharamshala,Fog,March,18.7,Yes,No,50
Ajmer,Rain,January,10.9,Yes,Yes,51
Bengaluru,Clear,April,32.1,No,No,39
Kodaikanal,Rain,June,23.2,No,Yes,43
Ajmer,Clear,February,26.3,No,No,48
Pune,Clear,June,24.6,No,Yes,45
Vaishno Devi (Katra),Clear,September,31.8,No,No,46
Statue of Unity (Kevadia),Clear,March,18.3,Yes,No,62
Agra,Rain,March,13.2,Yes,No,56
Goa,Clouds,February,21.4,No,No,66
Pushkar,Storm,July,30.9,No,Yes,49
Amritsar,Clear,July,28.1,No,Yes,44
Varanasi,Clear,December,15.1,Yes,Yes,50
Varanasi,Fog,January,9.6,Yes,Yes,44
Madurai,Clear,July,25.8,No,Yes,40
Lucknow,Heavy Rain,August,30.2,Yes,No,40
Vaishno Devi (Katra),Rain,October,25,Yes,Yes,64
Madurai,Clear,August,28.2,Yes,No,46
Pune,Rain,July,27.1,No,Yes,46
Nashik,Clear,August,32.2,Yes,No,30
Somnath,Rain,March,16.2,Yes,No,47
Darjeeling,Snow,June,20,No,Yes,41
Shimla,Clear,March,7.2,Yes,No,37
Mumbai,Rain,May,25.8,No,Yes,27
Hampi,Rain,March,19.1,Yes,No,69
Agra,Clear,April,30.8,No,No,43
Coorg,Clouds,November,11.9,Yes,Yes,76
Nashik,Heavy Rain,September,29.1,No,No,32
Kochi,Fog,July,28.7,No,Yes,35
Kanyakumari,Clear,January,18.4,Yes,Yes,71
Agra,Rain,May,30.7,No,Yes,43
Udaipur,Clear,September,31.3,No,No,45
Bengaluru,Clear,May,29,No,Yes,44
Tirupati,Clouds,August,26.3,Yes,No,53
Statue of Unity (Kevadia),Storm,April,31.5,No,No,44
Statue of Unity (Kevadia),Clear,May,30.6,No,Yes,47
Shimla,Clouds,April,23.2,No,No,41
Kodaikanal,Clear,July,20.3,No,Yes,36
Statue of Unity (Kevadia),Heavy Rain,June,37.1,No,Yes,36
Statue of Unity (Kevadia),Clear,July,25.9,No,Yes,46
Statue of Unity (Kevadia),Clouds,August,30.2,Yes,No,49
Aurangabad,Rain,January,5.9,Yes,Yes,37
Mathura & Vrindavan,Clear,November,23.9,Yes,Yes,69
Shirdi,Clear,March,29.7,Yes,No,67
Rishikesh & Haridwar,Clouds,September,24.6,No,No,45
Kanyakumari,Heavy Rain,February,10.4,No,No,57
Thiruvananthapuram,Rain,February,20.4,No,No,35
Aurangabad,Heavy Rain,February,10,No,No,30
Amritsar,Rain,August,27.9,Yes,No,50
Vijayawada,Clear,March,22.9,Yes,No,68
Statue of Unity (Kevadia),Clear,September,26.1,No,No,52
Pune,Rain,August,24.4,Yes,No,51
Bengaluru,Rain,June,34,No,Yes,34
Tirupati,Rain,September,29.4,No,No,52
Thiruvananthapuram,Clear,March,17.5,Yes,No,41
Udaipur,Clear,October,24.7,Yes,Yes,63
Rishikesh & Haridwar,Snow,October,17.4,Yes,Yes,58
Ajmer,Rain,March,29.4,Yes,No,53
Munnar,Heavy Rain,February,9.5,No,No,45
Lucknow,Fog,September,24.5,No,No,42
Alleppey,Clear,November,27.9,Yes,Yes,68
Kolkata,Rain,April,33.8,No,No,43
Shirdi,Clear,April,34.1,No,No,49
Dwarka,Clouds,February,9.2,No,No,55
Delhi,Clear,November,23.6,Yes,Yes,74
Vijayawada,Clear,April,27.6,No,No,53
Bengaluru,Clouds,July,29.9,No,Yes,39
Ooty,Clear,April,25.6,No,No,59
Shimla,Heavy Snow,May,28.5,No,Yes,43
Delhi,Fog,December,13.7,Yes,Yes,71
Kolkata,Heavy Rain,May,35.1,No,Yes,44
Vijayawada,Clear,May,27.2,No,Yes,54
