Destination,Temperature_C,Condition,Wind_Speed_kmph,Safety
Ahmedabad,24.6,Heavy Rain,21.9,Safe
Aurangabad,22.4,Rain,30.8,Moderate
Ooty,17.1,Clear,17.3,Safe
Coorg,9.6,Clear,27.8,Safe
Rameswaram,27.6,Rain,32.6,Moderate
Manali,9.4,Cloudy,20.6,Safe
Kodaikanal,17.8,Rain,8.9,Safe
Nainital,-0.8,Clear,34.5,Safe
Nainital,14.8,Clear,33.4,Safe
Darjeeling,-0.0,Snow,34.1,Unsafe
Chennai,24.5,Rain,5.6,Safe
Jaisalmer,27.6,Clear,77.9,Moderate
Manali,3.1,Clear,6.7,Safe
Vaishno Devi (Katra),4.1,Rain,21.1,Moderate
Prayagraj,26.3,Cloudy,41.3,Safe
Nainital,-0.3,Clear,18.1,Safe
Mysuru,13.3,Rain,30.2,Moderate
Mathura & Vrindavan,35.0,Clear,39.6,Safe
Manali,7.1,Fog,43.3,Moderate
Aurangabad,22.5,Clear,10.8,Safe
Vijayawada,14.9,Rain,20.6,Safe
Madurai,12.5,Fog,41.2,Moderate
Varanasi,16.3,Clear,42.5,Safe
Tirupati,29.0,Clear,30.0,Safe
Mysuru,14.0,Rain,23.4,Safe
Dwarka,13.6,Clear,13.2,Safe
Ayodhya,23.3,Clear,24.2,Safe
Dwarka,22.7,Fog,8.9,Safe
Rishikesh & Haridwar,-2.5,Rain,40.5,Unsafe
Amritsar,19.7,Heavy Rain,19.3,Moderate
Bengaluru,13.3,Cloudy,7.7,Safe
Vijayawada,14.5,Rain,12.1,Safe
Mumbai,33.5,Clear,35.3,Safe
Lucknow,16.7,Clear,38.8,Safe
Visakhapatnam,21.5,Clear,31.2,Safe
Ayodhya,30.9,Clear,29.6,Safe
Prayagraj,24.8,Clear,6.6,Safe
Statue of Unity (Kevadia),22.5,Rain,38.9,Moderate
Pune,37.4,Clear,17.6,Safe
Rameswaram,27.6,Cloudy,42.7,Safe
Ooty,13.2,Rain,14.9,Safe
Dharamshala,9.9,Clear,8.5,Safe
Amritsar,18.9,Rain,23.6,Safe
Darjeeling,7.8,Fog,20.3,Moderate
Statue of Unity (Kevadia),35.7,Rain,5.1,Safe
Ahmedabad,20.5,Cloudy,16.8,Safe
Jaisalmer,22.5,Clear,36.8,Safe
Shirdi,29.4,Clear,10.5,Safe
Shimla,10.6,Fog,5.4,Moderate
Kochi,26.3,Rain,22.6,Safe
Delhi,29.2,Clear,6.3,Safe
Manali,11.5,Rain,43.3,Moderate
Rameswaram,30.4,Cloudy,28.0,Safe
Shimla,-2.7,Rain,9.3,Moderate
Kochi,34.9,Rain,14.8,Safe
Madurai,17.6,Clear,30.0,Safe
Goa,32.3,Clear,52.2,Moderate
Udaipur,20.2,Clear,32.4,Safe
Chennai,30.0,Clear,12.7,Safe
Shirdi,33.1,Clear,37.4,Safe
Munnar,24.4,Clear,47.5,Safe
Ayodhya,24.2,Clear,29.3,Safe
Kodaikanal,13.6,Clear,25.1,Safe
Tirupati,13.5,Clear,24.2,Safe
Ooty,8.3,Rain,14.1,Safe
Varanasi,25.5,Clear,14.0,Safe
Darjeeling,8.6,Rain,23.6,Moderate
Ooty,18.3,Rain,6.2,Safe
Aurangabad,39.9,Fog,43.7,Moderate
Jodhpur,38.4,Clear,11.8,Safe
Ayodhya,29.8,Rain,29.2,Safe
Ahmedabad,31.0,Clear,17.2,Safe
Munnar,32.7,Rain,34.7,Moderate
Mathura & Vrindavan,33.1,Rain,11.6,Safe
Darjeeling,9.1,Clear,10.6,Safe
Agra,17.3,Clear,29.4,Safe
Kodaikanal,20.4,Cloudy,15.1,Safe
Madurai,30.8,Rain,36.8,Moderate
Mumbai,28.9,Rain,51.3,Moderate
Dwarka,32.2,Clear,13.2,Safe
Delhi,35.8,Clear,39.3,Safe
Vijayawada,39.0,Clear,12.4,Safe
Manali,-1.1,Rain,12.4,Moderate
Delhi,10.9,Storm,44.7,Moderate
Ajmer,37.7,Fog,40.8,Moderate
Chennai,20.7,Clear,8.5,Safe
Ooty,9.7,Fog,9.0,Safe
Kochi,29.6,Clear,54.5,Moderate
Thiruvananthapuram,22.1,Clear,41.8,Safe
Rishikesh & Haridwar,8.4,Fog,20.6,Moderate
Agra,31.9,Clear,29.2,Safe
Pune,13.7,Rain,34.0,Moderate
Manali,4.3,Fog,10.9,Moderate
Srinagar,11.6,Rain,35.4,Moderate
Dharamshala,12.8,Clear,41.7,Safe
Goa,33.0,Heavy Rain,41.4,Unsafe
Agra,24.2,Fog,36.8,Moderate
Jaipur,19.4,Clear,43.4,Safe
Mumbai,21.9,Clear,15.1,Safe
Jaipur,20.3,Clear,5.3,Safe
Agra,13.1,Rain,39.0,Moderate
Visakhapatnam,21.6,Storm,42.2,Unsafe
Shirdi,28.7,Clear,35.0,Safe
Ayodhya,13.7,Heavy Rain,23.1,Moderate
Amritsar,36.8,Clear,41.9,Safe
Thiruvananthapuram,33.7,Rain,36.6,Moderate
Ahmedabad,21.8,Rain,23.2,Safe
Jodhpur,22.5,Clear,31.3,Safe
Amritsar,14.4,Clear,21.9,Safe
Srinagar,11.6,Rain,36.1,Moderate
Aurangabad,35.6,Fog,24.4,Safe
Prayagraj,25.4,Storm,31.3,Moderate
Kolkata,12.4,Clear,33.0,Safe
Kolkata,23.2,Rain,18.1,Safe
Thiruvananthapuram,33.3,Fog,46.1,Moderate
Bengaluru,16.1,Clear,9.0,Safe
Agra,17.6,Rain,5.1,Safe
Manali,7.5,Cloudy,28.8,Safe
Somnath,10.4,Rain,37.5,Moderate
Coorg,16.9,Cloudy,33.1,Safe
Darjeeling,2.8,Fog,5.5,Moderate
Ayodhya,25.5,Clear,29.5,Safe
Visakhapatnam,32.4,Storm,24.1,Moderate
Ahmedabad,37.2,Clear,17.6,Safe
Alleppey,21.7,Cloudy,37.2,Safe
Ooty,22.5,Fog,5.9,Safe
Rameswaram,20.1,Rain,49.9,Moderate
Munnar,20.5,Cloudy,48.9,Safe
Pushkar,29.6,Clear,45.2,Safe
Amritsar,25.8,Clear,15.4,Safe
Madurai,39.0,Clear,5.4,Safe
Madurai,12.9,Cloudy,6.7,Safe
Jaisalmer,37.0,Cloudy,23.2,Safe
Jodhpur,27.7,Clear,35.7,Safe
Srinagar,12.3,Fog,34.5,Moderate
Chennai,31.6,Clear,35.3,Safe
Munnar,25.5,Storm,11.1,Moderate
Tirupati,36.9,Clear,25.6,Safe
Srinagar,-2.9,Clear,10.1,Safe
Srinagar,2.8,Cloudy,25.0,Safe
Lucknow,21.0,Rain,5.6,Safe
Rameswaram,24.3,Clear,52.2,Moderate
Dwarka,30.0,Clear,32.9,Safe
Prayagraj,29.9,Rain,44.2,Moderate
Jodhpur,39.0,Clear,36.6,Safe
Ayodhya,36.0,Clear,18.1,Safe
Darjeeling,13.0,Rain,34.2,Moderate
Thiruvananthapuram,23.3,Clear,53.0,Moderate
Srinagar,6.4,Clear,27.6,Safe
Ajmer,21.6,Clear,22.0,Safe
Chennai,34.5,Clear,40.5,Safe
Rameswaram,32.1,Clear,8.5,Safe
Ayodhya,37.3,Clear,10.0,Safe
Goa,23.5,Fog,35.8,Moderate
Nashik,27.2,Clear,11.1,Safe
Statue of Unity (Kevadia),18.5,Clear,16.0,Safe
Vaishno Devi (Katra),13.3,Cloudy,33.7,Safe
Srinagar,2.4,Cloudy,25.0,Safe
Alleppey,21.7,Rain,21.3,Safe
Prayagraj,16.0,Clear,24.3,Safe
Aurangabad,28.0,Heavy Rain,41.0,Moderate
Udaipur,28.2,Heavy Rain,44.2,Moderate
Manali,-2.1,Fog,33.0,Unsafe
Dwarka,24.2,Rain,22.8,Safe
Kochi,22.6,Storm,55.7,Unsafe
Tirupati,33.0,Clear,20.8,Safe
Bengaluru,28.5,Rain,14.8,Safe
Dwarka,31.7,Clear,44.3,Safe
Thiruvananthapuram,25.1,Rain,33.8,Moderate
Madurai,39.2,Clear,17.8,Safe
Ooty,12.5,Clear,12.1,Safe
Jaisalmer,40.0,Clear,14.7,Safe
Ajmer,10.6,Rain,35.5,Moderate
Coorg,19.8,Clear,24.2,Safe
Shirdi,14.7,Clear,30.2,Safe
Kodaikanal,18.3,Rain,14.1,Safe
Coorg,22.3,Rain,28.6,Safe
Lucknow,18.0,Clear,33.1,Safe
Munnar,30.0,Rain,36.6,Moderate
Darjeeling,-2.2,Clear,20.1,Safe
Madurai,27.9,Cloudy,28.5,Safe
Lucknow,36.1,Cloudy,21.0,Safe
Kodaikanal,21.0,Cloudy,22.0,Safe
Munnar,30.3,Storm,31.8,Unsafe
Jaisalmer,37.7,Clear,26.3,Safe
Shirdi,18.9,Cloudy,23.2,Safe
Thiruvananthapuram,21.8,Fog,38.8,Moderate
Jodhpur,24.5,Clear,58.0,Moderate
Thiruvananthapuram,30.6,Fog,49.2,Moderate
Ajmer,30.9,Clear,11.2,Safe
Alleppey,23.3,Clear,45.3,Safe
Ooty,15.0,Clear,22.6,Safe
Dwarka,29.1,Clear,37.7,Safe
Visakhapatnam,21.8,Clear,41.0,Safe
Udaipur,38.1,Clear,27.0,Safe
Hampi,20.1,Cloudy,12.0,Safe
Goa,21.6,Cloudy,30.8,Safe
Agra,32.6,Fog,13.0,Safe
Srinagar,0.9,Fog,27.8,Moderate
Mumbai,28.4,Clear,45.2,Safe
Varanasi,24.6,Clear,35.4,Safe
Statue of Unity (Kevadia),23.5,Clear,27.8,Safe
Goa,22.9,Cloudy,23.9,Safe
Ooty,9.7,Cloudy,24.9,Safe
Pushkar,42.5,Clear,12.0,Safe
Bengaluru,28.4,Clear,30.6,Safe
Nashik,28.9,Rain,31.4,Moderate
Vijayawada,36.4,Cloudy,6.1,Safe
Jaipur,18.4,Fog,33.3,Moderate
Alleppey,32.2,Heavy Rain,52.1,Unsafe
Delhi,15.8,Clear,5.9,Safe
Nainital,5.1,Cloudy,40.6,Safe
Prayagraj,32.8,Heavy Rain,6.4,Moderate
Vaishno Devi (Katra),-2.0,Rain,39.0,Unsafe
Rameswaram,26.4,Clear,19.8,Safe
Bengaluru,11.8,Cloudy,42.5,Safe
Kodaikanal,14.9,Clear,18.8,Safe
Bengaluru,28.4,Cloudy,14.1,Safe
Statue of Unity (Kevadia),14.1,Clear,42.7,Safe
Ahmedabad,14.9,Clear,39.8,Safe
Shirdi,16.7,Clear,18.6,Safe
Kolkata,11.0,Clear,24.1,Safe
Srinagar,2.1,Rain,25.4,Moderate
Nashik,34.2,Fog,8.4,Safe
Kanyakumari,33.3,Clear,39.1,Safe
Vaishno Devi (Katra),-0.9,Cloudy,23.7,Safe
Delhi,34.2,Clear,31.0,Safe
Nainital,11.6,Clear,7.6,Safe
Jodhpur,35.2,Clear,26.4,Safe
Vijayawada,33.7,Clear,14.3,Safe
Kanyakumari,23.6,Clear,22.3,Safe
Tirupati,16.0,Rain,11.4,Safe
Alleppey,26.3,Cloudy,45.9,Safe
Kolkata,16.8,Cloudy,42.1,Safe
Dharamshala,4.8,Clear,6.5,Safe
Mumbai,20.8,Storm,42.1,Moderate
Lucknow,23.7,Fog,7.4,Safe
Srinagar,14.2,Clear,29.9,Safe
Somnath,10.8,Cloudy,37.3,Safe
Jaisalmer,37.5,Clear,35.3,Safe
Vaishno Devi (Katra),3.6,Rain,16.6,Moderate
Madurai,15.1,Clear,22.4,Safe
Jaisalmer,37.9,Cloudy,18.4,Safe
Jaisalmer,24.5,Clear,18.7,Safe
Nainital,9.0,Clear,29.3,Safe
Lucknow,29.4,Clear,22.6,Safe
Mysuru,25.2,Clear,5.2,Safe
Rameswaram,32.4,Rain,42.2,Moderate
Lucknow,27.6,Cloudy,18.2,Safe
Nainital,8.1,Cloudy,28.9,Safe
Pune,32.3,Clear,40.7,Safe
Thiruvananthapuram,22.7,Clear,40.7,Safe
Srinagar,6.9,Fog,14.8,Moderate
Rishikesh & Haridwar,-3.7,Cloudy,12.1,Safe
Hampi,23.5,Clear,33.3,Safe
Varanasi,31.9,Clear,20.2,Safe
Visakhapatnam,20.3,Rain,41.4,Moderate
Kolkata,23.1,Clear,6.0,Safe
Udaipur,27.4,Rain,23.9,Safe
Prayagraj,34.7,Clear,8.0,Safe
Vijayawada,37.9,Storm,30.0,Moderate
Mathura & Vrindavan,16.8,Clear,8.1,Safe
Shimla,14.0,Clear,29.1,Safe
Jaisalmer,39.9,Clear,33.5,Safe
Dwarka,32.9,Cloudy,38.6,Safe
Statue of Unity (Kevadia),20.2,Cloudy,40.9,Safe
Udaipur,32.7,Rain,23.5,Safe
Goa,34.7,Clear,44.1,Safe
Darjeeling,-2.4,Clear,44.0,Moderate
Jaisalmer,31.1,Clear,29.3,Safe
Rameswaram,21.8,Clear,15.1,Safe
Ajmer,14.8,Clear,19.5,Safe
Shirdi,23.9,Clear,32.4,Safe
Amritsar,25.1,Clear,16.7,Safe
Pune,11.4,Rain,19.0,Safe
Ayodhya,32.1,Clear,10.5,Safe
Prayagraj,16.6,Rain,17.2,Safe
Dharamshala,7.8,Cloudy,38.4,Safe
Statue of Unity (Kevadia),17.0,Clear,25.3,Safe
Ajmer,38.0,Clear,31.2,Safe
Delhi,38.0,Cloudy,30.5,Safe
Ooty,11.1,Fog,16.1,Safe
Bengaluru,37.8,Clear,14.9,Safe
Ooty,15.4,Rain,23.8,Safe
Hampi,24.6,Rain,19.0,Safe
Tirupati,22.8,Clear,14.8,Safe
Jaipur,29.4,Cloudy,24.9,Safe
Somnath,11.0,Clear,20.4,Safe
Ayodhya,25.3,Clear,13.0,Safe
Hampi,15.4,Rain,15.3,Safe
Goa,32.8,Cloudy,10.2,Safe
Kochi,20.1,Clear,42.2,Safe
Chennai,20.9,Storm,53.4,Unsafe
Thiruvananthapuram,24.7,Clear,24.2,Safe
Delhi,34.9,Clear,41.1,Safe
Vaishno Devi (Katra),-1.8,Cloudy,10.6,Safe
Dwarka,22.6,Clear,29.5,Safe
Jodhpur,36.1,Clear,55.9,Moderate
Rishikesh & Haridwar,-0.7,Snow,33.5,Unsafe
Ahmedabad,34.6,Cloudy,44.6,Safe
Aurangabad,38.5,Fog,15.1,Safe
Somnath,38.2,Clear,29.4,Safe
Somnath,11.3,Fog,41.5,Moderate
Statue of Unity (Kevadia),16.2,Cloudy,42.9,Safe
Madurai,30.8,Clear,28.0,Safe
Somnath,28.5,Clear,9.6,Safe
Rishikesh & Haridwar,0.4,Fog,32.5,Moderate
Udaipur,33.8,Clear,12.5,Safe
Srinagar,1.7,Snow,42.4,Unsafe
Kanyakumari,21.2,Cloudy,32.6,Safe
Jodhpur,20.4,Clear,6.6,Safe
Prayagraj,30.9,Clear,39.7,Safe
Somnath,16.8,Rain,40.5,Moderate
Rishikesh & Haridwar,7.3,Rain,29.3,Moderate
Chennai,34.0,Rain,28.0,Safe
Bengaluru,25.7,Clear,27.1,Safe
Jaipur,16.6,Clear,16.2,Safe
Aurangabad,10.6,Heavy Rain,8.4,Moderate
Munnar,34.3,Clear,22.3,Safe
Jaipur,33.3,Clear,17.3,Safe
Darjeeling,-3.2,Clear,38.8,Moderate
Shimla,0.7,Clear,9.8,Safe
Rishikesh & Haridwar,-0.3,Clear,33.5,Safe
Agra,21.4,Clear,39.0,Safe
Goa,28.5,Heavy Rain,39.7,Unsafe
Bengaluru,31.9,Cloudy,8.1,Safe
Visakhapatnam,32.9,Cloudy,28.1,Safe
Rameswaram,20.3,Clear,19.4,Safe
Nainital,4.3,Cloudy,40.3,Safe
Kolkata,31.7,Rain,21.6,Safe
Munnar,34.8,Heavy Rain,34.5,Unsafe
Vaishno Devi (Katra),11.2,Fog,32.8,Moderate
Rameswaram,21.0,Rain,45.1,Moderate
Visakhapatnam,30.3,Clear,24.9,Safe
Varanasi,24.6,Clear,21.0,Safe
Manali,1.9,Rain,37.7,Moderate
Coorg,24.4,Fog,25.9,Safe
Ayodhya,14.9,Storm,34.6,Moderate
Aurangabad,31.6,Clear,41.8,Safe
Varanasi,22.7,Clear,5.1,Safe
Shimla,-3.4,Clear,44.1,Moderate
Somnath,21.5,Clear,13.2,Safe
Agra,24.3,Rain,7.9,Safe
Vaishno Devi (Katra),11.6,Clear,26.4,Safe
Jodhpur,42.1,Clear,34.8,Moderate
Thiruvananthapuram,26.5,Fog,14.4,Safe
Amritsar,33.7,Rain,8.6,Safe
Mysuru,32.9,Cloudy,15.7,Safe
Mysuru,31.7,Clear,36.1,Safe
Bengaluru,22.0,Fog,34.4,Moderate
Mysuru,37.4,Clear,6.0,Safe
Pune,13.0,Clear,7.7,Safe
Mathura & Vrindavan,31.2,Clear,5.2,Safe
Nashik,26.0,Cloudy,19.0,Safe
Delhi,27.3,Clear,37.6,Safe
Amritsar,37.8,Clear,44.7,Safe
Ayodhya,38.6,Rain,16.6,Safe
Munnar,24.9,Rain,16.0,Safe
Chennai,29.8,Rain,8.4,Safe
Mathura & Vrindavan,21.5,Cloudy,43.7,Safe
Vijayawada,10.0,Cloudy,20.2,Safe
Jaipur,12.0,Rain,12.7,Safe
Amritsar,13.1,Heavy Rain,14.3,Moderate
Ajmer,23.9,Heavy Rain,8.7,Moderate
Bengaluru,30.8,Clear,23.0,Safe
Ooty,23.5,Clear,16.6,Safe
Kolkata,24.2,Rain,27.7,Safe
Bengaluru,24.6,Rain,12.8,Safe
Darjeeling,1.8,Clear,43.8,Safe
Goa,25.4,Cloudy,19.5,Safe
Agra,36.9,Rain,24.0,Safe
Vijayawada,10.6,Clear,39.7,Safe
Pune,34.9,Cloudy,26.3,Safe
Jodhpur,22.0,Clear,37.6,Safe
Hampi,18.1,Clear,18.4,Safe
Varanasi,35.0,Rain,29.5,Safe
Mathura & Vrindavan,23.5,Clear,6.1,Safe
Visakhapatnam,30.6,Cloudy,50.6,Moderate
Ajmer,30.0,Clear,37.7,Safe
Dwarka,20.7,Heavy Rain,25.1,Moderate
Dwarka,17.8,Clear,17.4,Safe
Mumbai,28.4,Cloudy,6.5,Safe
Kochi,22.2,Clear,26.1,Safe
Darjeeling,13.3,Rain,10.5,Moderate
Rameswaram,34.9,Heavy Rain,12.0,Moderate
Prayagraj,23.0,Clear,15.0,Safe
Goa,30.1,Clear,7.2,Safe
Delhi,30.5,Clear,30.4,Safe
Ahmedabad,14.1,Clear,10.1,Safe
Mumbai,26.7,Clear,12.3,Safe
Jaisalmer,35.1,Clear,10.4,Safe
Agra,26.1,Clear,22.4,Safe
Srinagar,9.5,Cloudy,5.1,Safe
Vaishno Devi (Katra),8.5,Clear,43.8,Safe
Kanyakumari,29.7,Rain,19.2,Safe
Tirupati,38.4,Clear,34.9,Safe
Manali,4.5,Clear,14.4,Safe
Nashik,11.8,Rain,31.4,Moderate
Rishikesh & Haridwar,-2.2,Clear,32.5,Moderate
Amritsar,28.8,Storm,5.1,Moderate
Nashik,18.4,Cloudy,41.8,Safe
Dwarka,30.6,Clear,11.0,Safe
Jaisalmer,38.7,Cloudy,5.3,Safe
Mumbai,21.7,Cloudy,56.7,Moderate
Manali,14.1,Cloudy,14.1,Safe
Goa,24.3,Clear,52.1,Moderate
Rameswaram,32.2,Rain,21.4,Safe
Darjeeling,7.7,Cloudy,16.0,Safe
Shimla,-4.7,Fog,29.7,Moderate
Ajmer,34.8,Clear,37.1,Safe
Amritsar,20.4,Clear,19.5,Safe
Dharamshala,12.3,Rain,42.4,Moderate
Jaisalmer,44.8,Clear,5.9,Safe
Ajmer,12.3,Cloudy,38.9,Safe
Munnar,33.7,Rain,11.7,Safe
Hampi,10.5,Clear,20.9,Safe
Alleppey,30.1,Rain,5.6,Safe
Munnar,32.8,Rain,13.6,Safe
Pune,17.6,Clear,31.7,Safe
Shirdi,35.0,Rain,34.4,Moderate
Varanasi,10.3,Clear,40.3,Safe
Vaishno Devi (Katra),5.3,Rain,41.3,Moderate
Statue of Unity (Kevadia),20.9,Clear,25.2,Safe
Manali,7.5,Clear,24.6,Safe
Goa,26.8,Clear,47.1,Safe
Vaishno Devi (Katra),1.3,Cloudy,9.8,Safe
Agra,39.0,Clear,37.3,Safe
Goa,24.3,Clear,14.7,Safe
Hampi,10.3,Clear,30.7,Safe
Bengaluru,39.8,Clear,17.0,Safe
Pushkar,41.1,Clear,8.8,Safe
Rishikesh & Haridwar,6.1,Rain,11.1,Moderate
Vaishno Devi (Katra),12.6,Rain,37.3,Moderate
Bengaluru,39.9,Storm,10.8,Safe
Hampi,20.7,Rain,21.9,Safe
Vaishno Devi (Katra),4.1,Cloudy,40.7,Safe
Udaipur,14.2,Rain,38.7,Moderate
Somnath,12.3,Fog,14.0,Safe
Alleppey,28.6,Cloudy,56.7,Moderate
Kochi,24.9,Clear,35.4,Safe
Agra,24.0,Clear,29.9,Safe
Hampi,20.0,Rain,15.8,Safe
Vijayawada,25.6,Clear,30.5,Safe
Ooty,21.9,Cloudy,21.1,Safe
Hampi,16.2,Rain,30.9,Moderate
Shirdi,30.4,Rain,24.5,Safe
Jaipur,16.7,Clear,30.0,Safe
Coorg,15.5,Cloudy,32.9,Safe
Tirupati,34.9,Fog,33.2,Moderate
Mysuru,39.9,Clear,10.2,Safe
Ajmer,30.4,Heavy Rain,27.2,Moderate
Agra,33.0,Cloudy,30.1,Safe
Udaipur,37.7,Clear,43.1,Safe
Goa,24.9,Cloudy,41.3,Safe
Mumbai,24.3,Heavy Rain,58.4,Unsafe
Vijayawada,33.7,Clear,38.7,Safe
Pushkar,44.1,Clear,35.9,Moderate
Udaipur,35.3,Cloudy,30.7,Safe
Ajmer,38.7,Fog,7.4,Safe
Ajmer,12.9,Clear,34.7,Safe
Srinagar,13.2,Clear,8.4,Safe
Delhi,11.1,Clear,23.8,Safe
Bengaluru,32.7,Heavy Rain,9.5,Safe
Varanasi,22.7,Clear,20.3,Safe
Kanyakumari,23.7,Cloudy,33.2,Safe
Tirupati,33.5,Rain,16.5,Safe
Mumbai,21.6,Clear,43.3,Safe
Kodaikanal,10.3,Rain,8.1,Safe
Lucknow,27.4,Rain,8.6,Safe
Vaishno Devi (Katra),7.8,Clear,13.6,Safe
Aurangabad,23.6,Rain,9.7,Safe
Ahmedabad,15.0,Clear,25.5,Safe
Mathura & Vrindavan,28.1,Clear,32.6,Safe
Prayagraj,22.8,Rain,18.2,Safe
Jodhpur,31.8,Clear,20.0,Safe
Somnath,37.7,Fog,37.4,Moderate
Munnar,24.7,Heavy Rain,54.8,Unsafe
Lucknow,20.6,Cloudy,29.8,Safe
Kochi,27.3,Clear,58.6,Moderate
Shirdi,12.8,Heavy Rain,12.2,Moderate
Ooty,8.5,Clear,22.8,Safe
Rameswaram,32.4,Clear,36.8,Safe
Munnar,26.9,Clear,49.2,Safe
Shirdi,13.4,Clear,43.8,Safe
Prayagraj,13.0,Clear,14.1,Safe
Alleppey,23.0,Clear,37.9,Safe
Chennai,22.9,Clear,42.1,Safe
Ayodhya,11.4,Clear,18.3,Safe
Dwarka,21.3,Storm,28.0,Moderate
Dharamshala,3.1,Rain,17.0,Moderate
Chennai,29.0,Heavy Rain,15.3,Moderate
Agra,34.6,Fog,9.3,Safe
Manali,5.0,Clear,35.2,Safe
Jaipur,39.1,Heavy Rain,13.4,Moderate
Nashik,30.9,Heavy Rain,36.3,Moderate
Manali,2.9,Clear,37.9,Safe
Prayagraj,31.7,Clear,31.2,Safe
Darjeeling,11.0,Clear,23.9,Safe
Amritsar,13.8,Clear,34.5,Safe
Mathura & Vrindavan,38.1,Clear,20.1,Safe
Prayagraj,21.2,Clear,26.2,Safe
Ooty,20.1,Cloudy,32.0,Safe
Ayodhya,35.3,Cloudy,38.0,Safe
Darjeeling,1.7,Fog,17.4,Moderate
Agra,35.5,Rain,9.2,Safe
Aurangabad,18.7,Clear,29.7,Safe
Alleppey,21.8,Clear,47.3,Safe
Coorg,18.1,Clear,8.6,Safe
Prayagraj,23.7,Clear,12.5,Safe
Hampi,9.7,Rain,28.9,Safe
Thiruvananthapuram,21.6,Rain,38.5,Moderate
Aurangabad,19.6,Clear,34.4,Safe
Alleppey,28.0,Cloudy,10.5,Safe
Agra,13.2,Heavy Rain,39.3,Moderate
Nashik,22.2,Clear,40.4,Safe
Prayagraj,26.9,Clear,44.8,Safe
Chennai,27.5,Heavy Rain,43.7,Unsafe
Kodaikanal,19.9,Clear,9.9,Safe
Somnath,27.4,Clear,33.7,Safe
Jaipur,27.0,Rain,27.6,Safe
Madurai,17.0,Clear,12.4,Safe
Manali,13.2,Clear,14.6,Safe
Mathura & Vrindavan,33.7,Clear,16.5,Safe
Rishikesh & Haridwar,12.4,Rain,6.1,Moderate
Ayodhya,24.9,Cloudy,25.0,Safe
Ahmedabad,21.5,Cloudy,16.4,Safe
Vijayawada,23.3,Fog,32.9,Moderate
Agra,20.2,Heavy Rain,33.0,Moderate
Udaipur,22.5,Clear,18.1,Safe
Mathura & Vrindavan,20.2,Clear,11.7,Safe
Alleppey,25.4,Heavy Rain,41.6,Unsafe
Shimla,8.3,Clear,25.4,Safe
Amritsar,26.0,Heavy Rain,27.4,Moderate
Pune,35.3,Clear,18.5,Safe
Ajmer,14.9,Clear,20.8,Safe
Rishikesh & Haridwar,0.8,Clear,23.8,Safe
Chennai,25.6,Rain,41.4,Moderate
Madurai,18.2,Storm,5.7,Moderate
Vijayawada,16.0,Heavy Rain,39.5,Moderate
Rishikesh & Haridwar,12.4,Rain,32.8,Moderate
Delhi,37.0,Clear,5.6,Safe
Nashik,20.5,Cloudy,28.4,Safe
Hampi,19.7,Clear,26.9,Safe
Lucknow,34.2,Rain,18.5,Safe
Kochi,27.3,Clear,33.9,Safe
Vaishno Devi (Katra),-4.4,Rain,21.2,Moderate
Agra,19.2,Rain,14.1,Safe
Kanyakumari,22.7,Clear,17.0,Safe
Ajmer,31.2,Clear,24.2,Safe
Statue of Unity (Kevadia),23.7,Rain,9.6,Safe
Mysuru,21.9,Rain,27.3,Safe
Somnath,19.1,Rain,43.9,Moderate
Vaishno Devi (Katra),-1.9,Clear,28.1,Safe
Coorg,15.3,Fog,28.1,Safe
Ahmedabad,14.4,Clear,17.2,Safe
Delhi,29.3,Rain,14.8,Safe
Statue of Unity (Kevadia),39.5,Cloudy,30.3,Safe
Nainital,14.6,Fog,43.2,Moderate
Coorg,23.1,Rain,28.7,Safe
Mumbai,26.4,Clear,57.0,Moderate
Tirupati,29.4,Cloudy,11.4,Safe
Shimla,3.4,Clear,39.1,Safe
Vaishno Devi (Katra),3.5,Rain,40.0,Moderate
Srinagar,6.5,Fog,33.6,Moderate
Thiruvananthapuram,33.2,Cloudy,36.4,Safe
Ahmedabad,16.3,Cloudy,26.1,Safe
Coorg,10.0,Fog,8.9,Safe
Jaipur,30.3,Storm,32.7,Moderate
Alleppey,29.4,Cloudy,41.3,Safe
Rishikesh & Haridwar,-0.9,Rain,12.3,Moderate
Aurangabad,34.7,Clear,13.4,Safe
Mysuru,34.8,Clear,21.9,Safe
Madurai,14.8,Cloudy,43.3,Safe
Kochi,22.9,Heavy Rain,38.8,Unsafe
Coorg,17.4,Cloudy,32.8,Safe
Pushkar,25.0,Cloudy,6.5,Safe
Rameswaram,24.5,Cloudy,33.0,Safe
Dwarka,20.5,Rain,20.6,Safe
Munnar,30.2,Rain,19.0,Safe
Varanasi,18.9,Fog,28.2,Safe
Hampi,22.6,Fog,12.1,Safe
Vijayawada,38.9,Clear,28.0,Safe
Manali,-2.2,Cloudy,6.0,Safe
Goa,23.8,Cloudy,13.7,Safe
Dharamshala,3.9,Cloudy,23.5,Safe
Nainital,-1.2,Snow,39.1,Unsafe
Munnar,31.4,Cloudy,58.3,Moderate
Shirdi,36.1,Clear,26.4,Safe
Delhi,26.3,Cloudy,35.6,Safe
Jaipur,11.8,Clear,17.5,Safe
Mathura & Vrindavan,12.4,Rain,17.3,Safe
Ahmedabad,29.3,Heavy Rain,44.5,Moderate
Dharamshala,-1.2,Rain,44.8,Moderate
