Destination,Condition,Hotel_Rating,Price
Bengaluru,Clear,3,4450
Ooty,Rain,3,3620
Hampi,Rain,2,3710
Tirupati,Clear,1,1720
Jaipur,Clouds,5,6240
Somnath,Clear,4,2830
Ayodhya,Clear,5,3830
Hampi,Rain,5,6280
Goa,Clouds,3,3620
Kochi,Clear,3,1900
Chennai,Storm,2,5210
Thiruvananthapuram,Clear,1,1490
Delhi,Clear,3,4720
Vaishno Devi (Katra),Clouds,1,1620
Dwarka,Clear,3,2290
Jodhpur,Clear,2,3250
Rishikesh & Haridwar,Snow,4,3010
Ahmedabad,Clouds,4,2630
Aurangabad,Fog,1,1500
Somnath,Clear,2,2100
Somnath,Fog,4,3010
Statue of Unity (Kevadia),Clouds,5,3440
Madurai,Clear,1,1540
Somnath,Clear,2,2230
Rishikesh & Haridwar,Fog,5,3670
Udaipur,Clear,4,4120
Srinagar,Snow,1,1540
Kanyakumari,Clouds,3,2010
Jodhpur,Clear,2,3040
Prayagraj,Clear,3,2280
Somnath,Rain,5,4280
Rishikesh & Haridwar,Rain,3,2650
Chennai,Rain,5,9110
Bengaluru,Clear,4,5680
Jaipur,Clear,2,3250
Aurangabad,Heavy Rain,1,1780
Munnar,Clear,1,2310
Jaipur,Clear,4,4510
Darjeeling,Clear,5,3240
Shimla,Clear,3,1960
Rishikesh & Haridwar,Clear,3,2340
Agra,Clear,5,5890
Goa,Heavy Rain,4,5360
Bengaluru,Clouds,1,3790
Visakhapatnam,Clouds,2,1880
Rameswaram,Clear,5,3210
Nainital,Clouds,2,2850
Kolkata,Rain,1,4120
Munnar,Heavy Rain,4,4630
Vaishno Devi (Katra),Fog,1,1540
Rameswaram,Rain,5,3760
Visakhapatnam,Clear,3,1980
Varanasi,Clear,1,1530
Manali,Rain,4,4830
Coorg,Fog,4,2430
Ayodhya,Storm,5,4750
Aurangabad,Clear,2,1780
Varanasi,Clear,4,2380
Shimla,Clear,1,1600
Somnath,Clear,4,2940
Agra,Rain,2,3570
Vaishno Devi (Katra),Clear,3,2110
Jodhpur,Clear,4,4720
Thiruvananthapuram,Fog,4,2500
Amritsar,Rain,1,3150
Mysuru,Clouds,1,1540
Mysuru,Clear,5,3260
Bengaluru,Fog,2,4030
Mysuru,Clear,3,2090
Pune,Clear,4,2440
Mathura & Vrindavan,Clear,5,3160
Nashik,Clouds,1,1650
Delhi,Clear,4,5530
Amritsar,Clear,4,4180
Ayodhya,Rain,1,2200
Munnar,Rain,4,4860
Chennai,Rain,3,5510
Mathura & Vrindavan,Clouds,5,3280
Vijayawada,Clouds,4,2520
Jaipur,Rain,2,3660
Amritsar,Heavy Rain,1,3060
Ajmer,Heavy Rain,5,6530
Bengaluru,Clear,3,4730
Ooty,Clear,5,4850
Kolkata,Rain,2,5420
Bengaluru,Rain,3,6000
Darjeeling,Clear,3,1910
Goa,Clouds,4,4740
Agra,Rain,2,3840
Vijayawada,Clear,2,1810
Pune,Clouds,2,1830
Jodhpur,Clear,5,5310
Hampi,Clear,2,3120
Varanasi,Rain,5,3460
Mathura & Vrindavan,Clear,3,1900
Visakhapatnam,Clouds,3,1980
Ajmer,Clear,3,3310
Dwarka,Heavy Rain,2,2520
Dwarka,Clear,2,2060
Mumbai,Clouds,2,1880
Kochi,Clear,2,1880
Darjeeling,Rain,5,3580
Rameswaram,Heavy Rain,1,1730
Prayagraj,Clear,3,2450
Goa,Clear,3,3340
Delhi,Clear,3,4640
Ahmedabad,Clear,4,2440
Mumbai,Clear,4,2510
Jaisalmer,Clear,1,2520
Agra,Clear,4,4370
Srinagar,Clouds,1,1530
Vaishno Devi (Katra),Clear,5,3010
Kanyakumari,Rain,2,2170
Tirupati,Clear,5,3820
Manali,Clear,1,2300
Nashik,Rain,2,2180
Rishikesh & Haridwar,Clear,3,2380
Amritsar,Storm,3,4190
Nashik,Clouds,5,3510
Dwarka,Clear,1,1800
Jaisalmer,Clouds,5,5630
Mumbai,Clouds,1,1510
Manali,Clouds,1,2560
Goa,Clear,4,4590
Rameswaram,Rain,4,2820
Darjeeling,Clouds,1,1560
Shimla,Fog,1,1420
Ajmer,Clear,5,5270
Amritsar,Clear,4,4370
Dharamshala,Rain,1,1830
Jaisalmer,Clear,4,4360
Ajmer,Clouds,4,4930
Munnar,Rain,4,4920
Hampi,Clear,2,3150
Alleppey,Rain,5,3600
Munnar,Rain,2,3360
Pune,Clear,2,1850
Shirdi,Rain,5,4260
Varanasi,Clear,3,1970
Vaishno Devi (Katra),Rain,3,2170
Statue of Unity (Kevadia),Clear,1,1570
Manali,Clear,2,2940
Goa,Clear,5,5810
Vaishno Devi (Katra),Clouds,2,1870
Agra,Clear,5,5270
Goa,Clear,3,3440
Hampi,Clear,1,2750
Bengaluru,Clear,2,4100
Pushkar,Clear,5,3110
Rishikesh & Haridwar,Rain,4,3450
Vaishno Devi (Katra),Rain,2,2000
Bengaluru,Storm,4,7220
Hampi,Rain,1,3240
Vaishno Devi (Katra),Clouds,3,2180
Udaipur,Rain,2,3630
Somnath,Fog,5,4120
Alleppey,Clouds,3,2130
Kochi,Clear,5,3240
Agra,Clear,3,3750
Hampi,Rain,4,4820
Vijayawada,Clear,4,2580
Ooty,Clouds,2,2910
Hampi,Rain,1,2940
Shirdi,Rain,2,2340
Jaipur,Clear,1,2660
Coorg,Clouds,3,2200
Tirupati,Fog,4,3000
Mysuru,Clear,3,2000
Ajmer,Heavy Rain,3,4190
Agra,Clouds,4,4330
Udaipur,Clear,3,3330
Goa,Clouds,3,3570
Mumbai,Heavy Rain,1,1670
Vijayawada,Clear,1,1450
Pushkar,Clear,2,1810
Udaipur,Clouds,3,3610
Ajmer,Fog,1,2610
Ajmer,Clear,2,3120
Srinagar,Clear,5,3160
Delhi,Clear,4,6040
Bengaluru,Heavy Rain,3,5920
Varanasi,Clear,2,1850
Kanyakumari,Clouds,3,2140
Tirupati,Rain,4,3410
Mumbai,Clear,5,3010
Kodaikanal,Rain,5,5920
Lucknow,Rain,5,3610
Vaishno Devi (Katra),Clear,2,1740
Aurangabad,Rain,3,2370
Ahmedabad,Clear,5,3080
Mathura & Vrindavan,Clear,1,1520
Prayagraj,Rain,3,2750
Jodhpur,Clear,1,2510
Somnath,Fog,1,1930
Munnar,Heavy Rain,3,3780
Lucknow,Clouds,4,2500
Kochi,Clear,2,1750
Shirdi,Heavy Rain,1,2190
Ooty,Clear,3,3070
Rameswaram,Clear,2,1720
Munnar,Clear,2,2980
Shirdi,Clear,5,3670
Prayagraj,Clear,4,2840
Alleppey,Clear,5,3140
Chennai,Clear,4,5830
Ayodhya,Clear,3,2270
Dwarka,Storm,4,3680
Dharamshala,Rain,3,2460
Chennai,Heavy Rain,5,9370
Agra,Fog,1,2490
Manali,Clear,4,4290
Jaipur,Heavy Rain,2,3640
Nashik,Heavy Rain,5,3930
Manali,Clear,5,4990
Prayagraj,Clear,1,1780
Darjeeling,Clear,5,3280
Amritsar,Clear,1,2810
Mathura & Vrindavan,Clear,5,3150
Prayagraj,Clear,1,1720
Ooty,Clouds,4,4520
Ayodhya,Clouds,2,2400
Darjeeling,Fog,2,1740
Agra,Rain,1,2850
Aurangabad,Clear,3,1990
Alleppey,Clear,2,1800
Coorg,Clear,4,2370
Prayagraj,Clear,3,2350
Hampi,Rain,2,3610
Thiruvananthapuram,Rain,3,2440
Aurangabad,Clear,5,3410
Alleppey,Clouds,5,3520
Agra,Heavy Rain,2,3790
Nashik,Clear,3,2000
Prayagraj,Clear,5,3740
Chennai,Heavy Rain,1,4550
Kodaikanal,Clear,4,4030
Somnath,Clear,2,2250
Jaipur,Rain,1,3110
Madurai,Clear,4,2670
Manali,Clear,1,2260
Mathura & Vrindavan,Clear,1,1610
Rishikesh & Haridwar,Rain,5,4200
Ayodhya,Clouds,2,2210
Ahmedabad,Clouds,2,1910
Vijayawada,Fog,5,3160
Agra,Heavy Rain,4,5300
Udaipur,Clear,5,5770
Mathura & Vrindavan,Clear,5,3380
Alleppey,Heavy Rain,5,3930
Shimla,Clear,3,2050
Amritsar,Heavy Rain,5,6440
Pune,Clear,2,1910
Ajmer,Clear,2,3380
Rishikesh & Haridwar,Clear,1,1710
Chennai,Rain,4,7150
Madurai,Storm,3,2360
Vijayawada,Heavy Rain,5,3630
Rishikesh & Haridwar,Rain,5,4620
Delhi,Clear,2,4110
Nashik,Clouds,1,1490
Hampi,Clear,3,3550
Lucknow,Rain,5,3730
Kochi,Clear,1,1460
Vaishno Devi (Katra),Rain,5,3460
Agra,Rain,3,4090
Kanyakumari,Clear,3,2000
Ajmer,Clear,1,2710
Statue of Unity (Kevadia),Rain,4,3000
Mysuru,Rain,4,2930
Somnath,Rain,4,3350
Vaishno Devi (Katra),Clear,4,2560
Coorg,Fog,1,1520
Ahmedabad,Clear,1,1480
Delhi,Rain,3,5580
Statue of Unity (Kevadia),Clouds,4,2730
Nainital,Fog,2,2730
Coorg,Rain,2,2150
Mumbai,Clear,5,3370
Tirupati,Clouds,3,2400
Shimla,Clear,1,1420
Vaishno Devi (Katra),Rain,3,2290
Srinagar,Fog,4,2570
Thiruvananthapuram,Clouds,4,2690
Ahmedabad,Clouds,1,1670
Coorg,Fog,4,2430
Jaipur,Storm,5,6760
Alleppey,Clouds,5,3200
Rishikesh & Haridwar,Rain,2,2580
Aurangabad,Clear,3,2040
Mysuru,Clear,3,2120
Madurai,Clouds,1,1680
Kochi,Heavy Rain,3,2380
Coorg,Clouds,2,1930
Pushkar,Clouds,4,2730
Rameswaram,Clouds,2,1990
Dwarka,Rain,3,2610
Munnar,Rain,1,2770
Varanasi,Fog,1,1540
Hampi,Fog,5,5770
Vijayawada,Clear,5,3300
Manali,Clouds,3,3530
Goa,Clouds,2,3360
Dharamshala,Clouds,2,2010
Nainital,Snow,2,3090
Munnar,Clouds,4,4310
Shirdi,Clear,3,2530
Delhi,Clouds,3,4500
Jaipur,Clear,1,2740
Mathura & Vrindavan,Rain,4,2990
Ahmedabad,Heavy Rain,2,2220
Dharamshala,Rain,5,3690
Dharamshala,Clear,2,1910
Kodaikanal,Clear,3,3280
Kochi,Clouds,4,2780
Hampi,Clouds,4,4830
Srinagar,Rain,1,1730
Jaipur,Clear,1,2650
Statue of Unity (Kevadia),Clear,4,2470
Chennai,Rain,1,4480
Mysuru,Clear,5,3420
Kolkata,Clear,4,5870
Mumbai,Clear,2,1930
Tirupati,Rain,2,2550
Pune,Clear,4,2350
Statue of Unity (Kevadia),Clear,1,1530
Rameswaram,Rain,5,3660
Jaisalmer,Clear,4,4340
Ooty,Clouds,2,2970
Visakhapatnam,Rain,5,3660
Lucknow,Storm,2,2250
Kodaikanal,Clear,4,3980
Jaisalmer,Clear,3,3600
Dwarka,Clear,2,2240
Vijayawada,Clear,1,1570
Darjeeling,Clear,2,1710
Vaishno Devi (Katra),Snow,3,2020
Nainital,Clear,5,4910
Darjeeling,Rain,4,2770
Tirupati,Clouds,5,4050
Somnath,Fog,5,3950
Lucknow,Clear,2,1890
Darjeeling,Clear,5,3090
Kolkata,Clear,2,4060
Jaisalmer,Clear,2,2990
Darjeeling,Clear,3,2140
Mysuru,Rain,4,2710
Kodaikanal,Rain,5,6270
Coorg,Clouds,4,2670
Kolkata,Rain,3,5530
Ahmedabad,Clear,5,3290
Dwarka,Clear,3,2350
Mysuru,Clear,5,3200
Mathura & Vrindavan,Clear,4,2520
Shirdi,Clear,4,2890
Mathura & Vrindavan,Clouds,1,1560
Bengaluru,Clear,4,5580
Rishikesh & Haridwar,Fog,1,1870
Ajmer,Clear,3,3490
Varanasi,Clear,1,1600
Darjeeling,Fog,5,3040
Kanyakumari,Clear,3,1920
Prayagraj,Clear,3,2310
Goa,Clouds,4,4720
Lucknow,Clear,1,1510
Goa,Clouds,4,4510
Mysuru,Rain,3,2380
Nashik,Rain,2,2070
Shimla,Fog,1,1450
Ahmedabad,Clear,1,1550
Jaipur,Clear,3,3660
Manali,Clear,2,3080
Shimla,Rain,3,2480
Srinagar,Clear,3,1990
Ahmedabad,Heavy Rain,1,1690
Mathura & Vrindavan,Clear,2,1700
Rameswaram,Clear,1,1500
Hampi,Clouds,4,4760
Thiruvananthapuram,Rain,4,2820
Dharamshala,Clear,5,3400
Jaipur,Clear,2,2960
Manali,Clear,1,2480
Ayodhya,Clouds,5,3900
Jodhpur,Clear,5,5890
Ajmer,Rain,3,4040
Mumbai,Heavy Rain,4,2760
Tirupati,Rain,3,2930
Kodaikanal,Clouds,5,5590
Mumbai,Fog,2,1770
Statue of Unity (Kevadia),Clouds,2,1990
Coorg,Clear,5,3180
Goa,Clear,1,2740
Mathura & Vrindavan,Rain,1,1690
Nashik,Clear,3,1950
Ahmedabad,Clear,4,2640
Pushkar,Clear,3,2100
Pune,Clouds,1,1600
Delhi,Clear,1,3530
Ahmedabad,Clear,2,1910
Ajmer,Clear,2,3280
Alleppey,Clear,5,3020
Ajmer,Clear,4,4640
Kodaikanal,Rain,3,3820
Vijayawada,Rain,1,1830
Hampi,Clouds,4,4390
Nainital,Clouds,5,5260
Munnar,Heavy Rain,3,3760
Agra,Clear,1,2610
Ajmer,Clear,5,6040
Hampi,Clear,1,2480
Chennai,Clouds,2,4570
Chennai,Rain,4,7460
Mumbai,Clouds,5,3480
Manali,Clear,3,3430
Ooty,Rain,3,3520
Rishikesh & Haridwar,Rain,1,2000
Shimla,Rain,2,1980
Manali,Fog,5,5090
Srinagar,Clear,4,2500
Lucknow,Clear,2,1730
Pune,Clear,1,1460
Jodhpur,Clear,4,4500
Aurangabad,Clouds,2,1990
Chennai,Clear,5,7030
Bengaluru,Clear,2,3940
Ajmer,Rain,4,4840
Srinagar,Clear,5,3330
Munnar,Rain,4,4720
Mumbai,Rain,1,1740
Shimla,Clear,5,3440
Rishikesh & Haridwar,Fog,1,1740
Madurai,Rain,2,2080
Ayodhya,Rain,3,2940
Munnar,Fog,1,2500
Varanasi,Clouds,1,1560
Ajmer,Clear,1,2620
Kodaikanal,Rain,2,3240
Madurai,Clouds,4,2760
Vijayawada,Clear,2,1790
Statue of Unity (Kevadia),Clouds,4,2830
Kochi,Clear,2,1850
Udaipur,Fog,1,2580
Madurai,Clear,1,1570
Statue of Unity (Kevadia),Clear,5,3310
Ajmer,Clear,4,4620
Prayagraj,Clear,1,1720
Rameswaram,Clouds,3,2170
Shirdi,Clear,3,2430
Manali,Clouds,5,5140
Mathura & Vrindavan,Clear,4,2390
Agra,Clear,3,3520
Ayodhya,Rain,5,4240
Shirdi,Clear,5,3920
Nashik,Clear,5,3200
Udaipur,Clear,4,4480
Chennai,Clear,3,4760
Aurangabad,Clear,4,2570
Coorg,Clear,3,2010
Statue of Unity (Kevadia),Clouds,2,1810
Kodaikanal,Clear,5,5120
Manali,Heavy Snow,3,3140
Ahmedabad,Clear,2,1770
Darjeeling,Clear,1,1590
Mysuru,Clear,1,1610
Mumbai,Clouds,5,3350
Delhi,Rain,4,7250
Ayodhya,Clouds,3,2450
Kolkata,Rain,3,5740
Manali,Clouds,5,5650
Nashik,Clear,2,1870
Vijayawada,Clear,3,1890
Jodhpur,Clear,5,5390
Coorg,Clear,2,1870
Vaishno Devi (Katra),Snow,2,1840
Statue of Unity (Kevadia),Clear,1,1480
Bengaluru,Heavy Rain,4,7500
Dharamshala,Clear,2,1800
Jaipur,Rain,1,3020
Manali,Clouds,2,2890
Kodaikanal,Clear,4,4270
Vijayawada,Clouds,2,1870
Lucknow,Clear,4,2420
Ooty,Clouds,4,4260
Somnath,Clouds,5,3930
Amritsar,Clouds,4,4490
Munnar,Clouds,3,3630
Jodhpur,Clear,1,2690
Hampi,Rain,1,3120
Kodaikanal,Rain,1,2750
Chennai,Clouds,2,4270
Visakhapatnam,Clouds,4,2550
Pushkar,Clear,2,1750
Kodaikanal,Clouds,3,3500
Lucknow,Rain,2,2000
Chennai,Clouds,2,4400
Rameswaram,Rain,5,3870
Munnar,Clouds,4,3950
Kodaikanal,Rain,4,4650
Coorg,Clear,5,3250
Goa,Clear,3,3670
Amritsar,Clear,1,2780
Nainital,Fog,5,5120
Manali,Clouds,5,5400
Bengaluru,Clear,4,5290
Somnath,Clear,3,2410
Udaipur,Fog,3,3750
Bengaluru,Clear,5,6850
Dharamshala,Rain,4,3070
Ooty,Clouds,1,2670
Mumbai,Clouds,1,1680
Vaishno Devi (Katra),Rain,3,2370
Hampi,Clear,3,3630
Hampi,Rain,5,6450
Vijayawada,Clear,4,2390
Rameswaram,Heavy Rain,1,1810
Pushkar,Clear,2,1840
Kanyakumari,Rain,5,3930
Goa,Rain,1,2910
Srinagar,Clear,3,1890
Mysuru,Clear,3,2100
Goa,Storm,3,4260
Bengaluru,Clear,2,4260
Jaipur,Rain,2,3580
Pune,Rain,2,2110
Nainital,Clear,5,5350
Hampi,Rain,2,3800
Agra,Rain,2,3510
Bengaluru,Clear,1,3460
Manali,Clouds,1,2560
Vijayawada,Clear,1,1530
Rishikesh & Haridwar,Heavy Snow,3,2260
Prayagraj,Fog,3,2310
Alleppey,Rain,5,3500
Kochi,Clear,4,2410
Chennai,Heavy Rain,4,7410
Udaipur,Rain,2,3580
Shirdi,Clear,1,1700
Shirdi,Clear,5,4100
Kodaikanal,Rain,4,4860
Hampi,Clear,5,5380
Ahmedabad,Clear,3,1950
Jaipur,Clear,1,2510
Chennai,Storm,4,6680
Darjeeling,Clouds,3,2260
Kochi,Clouds,1,1520
Ayodhya,Clear,5,3980
Pune,Rain,4,2710
Rishikesh & Haridwar,Clear,2,2220
Kodaikanal,Clear,3,3330
Rameswaram,Clear,3,2010
Ahmedabad,Clear,3,1960
Hampi,Clear,2,3070
Jodhpur,Clear,2,3060
Rameswaram,Heavy Rain,4,2780
Dwarka,Clouds,2,2440
Coorg,Rain,3,2170
Prayagraj,Rain,1,2120
Prayagraj,Clear,2,2290
Kodaikanal,Rain,1,2840
Shirdi,Rain,1,2150
Mysuru,Clouds,4,2780
Tirupati,Fog,2,2210
Kanyakumari,Clear,2,1700
Shimla,Clouds,2,1940
Mysuru,Clear,4,2620
Lucknow,Fog,4,2400
Nainital,Fog,3,3370
Pune,Clear,3,1900
Darjeeling,Clear,5,3430
Udaipur,Clear,2,3040
Delhi,Clear,1,3510
Tirupati,Clear,2,2270
Prayagraj,Clear,3,2300
Bengaluru,Clouds,5,7560
Hampi,Rain,4,5020
Amritsar,Storm,5,6990
Hampi,Rain,4,5410
Dharamshala,Clouds,2,1830
Varanasi,Clouds,1,1680
Statue of Unity (Kevadia),Fog,1,1620
Goa,Clear,4,4260
Rishikesh & Haridwar,Fog,1,1940
Jaipur,Rain,4,5170
Jaisalmer,Clear,3,3730
Nashik,Clear,3,1950
Ooty,Clear,5,4850
Ooty,Clear,5,5000
Ayodhya,Clear,5,3910
Ooty,Fog,1,2450
Coorg,Clear,3,2090
Dharamshala,Fog,3,2110
Varanasi,Clouds,4,2540
Madurai,Clouds,4,2570
Vaishno Devi (Katra),Rain,5,3570
Amritsar,Clouds,3,3890
Alleppey,Clear,4,2590
Vijayawada,Rain,4,3070
Jaipur,Clouds,5,6100
Mathura & Vrindavan,Clear,5,3270
Jaipur,Clouds,4,4880
Kanyakumari,Rain,5,3840
Manali,Clouds,4,4000
Dharamshala,Clouds,3,2000
Nainital,Clouds,1,2630
Rishikesh & Haridwar,Clouds,1,2010
Shirdi,Rain,5,4380
Nainital,Clear,5,5140
Tirupati,Fog,5,3930
Kanyakumari,Clear,3,2100
Darjeeling,Clear,3,2100
Dwarka,Clouds,1,1890
Pushkar,Clear,4,2400
Ayodhya,Rain,2,2660
Dwarka,Rain,2,2500
Agra,Rain,5,6620
Bengaluru,Clear,2,4010
Jaisalmer,Clear,3,3550
Lucknow,Clear,1,1500
Kolkata,Rain,1,4300
Bengaluru,Rain,2,4910
Coorg,Clouds,1,1630
Nashik,Clear,2,1830
Mumbai,Rain,5,3800
Coorg,Clear,3,2120
Aurangabad,Clear,3,1970
Rishikesh & Haridwar,Clear,1,1810
Kodaikanal,Rain,4,4710
Jaipur,Rain,2,3460
Varanasi,Fog,2,1900
Aurangabad,Clear,5,3340
Bengaluru,Clear,4,5820
Srinagar,Rain,1,1840
Visakhapatnam,Rain,5,3710
Hampi,Rain,1,2860
Delhi,Clear,1,3590
Mathura & Vrindavan,Clear,2,1720
Manali,Clear,2,2770
Vijayawada,Clear,4,2530
Mysuru,Clear,1,1450
Rameswaram,Clear,3,2100
Tirupati,Clear,2,2280
Aurangabad,Rain,4,2900
Udaipur,Clear,3,3700
Jodhpur,Clear,3,3330
Nashik,Clear,4,2660
Prayagraj,Storm,4,3620
Nainital,Clouds,2,3220
Hampi,Rain,1,2870
Kodaikanal,Clouds,3,3600
Shimla,Rain,4,2750
Chennai,Rain,4,7550
Ajmer,Fog,2,3120
Hampi,Clouds,5,5530
Coorg,Rain,5,3570
Kochi,Clear,2,1710
Visakhapatnam,Heavy Rain,2,2170
Shirdi,Clear,2,2330
Mumbai,Clouds,5,3170
Jaipur,Rain,1,3160
Munnar,Rain,2,3530
Visakhapatnam,Rain,2,2110
Dwarka,Clear,3,2360
Agra,Rain,3,3940
Ahmedabad,Clouds,4,2720
Prayagraj,Fog,5,3690
Visakhapatnam,Rain,5,3870
Coorg,Clear,4,2590
Kodaikanal,Fog,5,5510
Delhi,Clouds,5,7770
Varanasi,Clear,5,3430
Visakhapatnam,Storm,1,1930
Chennai,Clouds,2,4350
Ajmer,Clear,1,2520
Hampi,Clouds,3,3630
Pune,Rain,5,3900
Munnar,Rain,3,3730
Lucknow,Clear,2,1740
Dharamshala,Clear,3,2070
Chennai,Heavy Rain,5,9700
Munnar,Rain,1,2680
Dwarka,Fog,4,3090
Pune,Rain,5,3840
Amritsar,Rain,4,5330
Shimla,Clear,5,3040
Prayagraj,Clouds,4,3370
Coorg,Clear,1,1550
Nashik,Clear,4,2410
Udaipur,Clear,1,2600
Shirdi,Clear,1,1710
Aurangabad,Rain,1,1790
Statue of Unity (Kevadia),Clear,5,3200
Manali,Rain,3,3870
Pune,Clear,2,1730
Madurai,Rain,4,2820
Srinagar,Rain,3,2210
Lucknow,Clear,3,2110
Udaipur,Clear,3,3340
Jaisalmer,Clear,1,2580
Kochi,Clear,3,2000
Rishikesh & Haridwar,Fog,1,1940
Ooty,Clear,2,2860
Shirdi,Rain,1,2030
Mysuru,Clear,2,1860
Thiruvananthapuram,Rain,3,2170
Manali,Clear,4,4300
Shimla,Clear,3,1930
Rishikesh & Haridwar,Clear,4,3110
Somnath,Rain,5,4420
Vijayawada,Clouds,4,2520
Mathura & Vrindavan,Fog,5,3340
Dharamshala,Rain,5,3930
Statue of Unity (Kevadia),Rain,4,3090
Udaipur,Rain,1,3070
Ahmedabad,Clouds,2,1970
Ajmer,Clouds,2,3200
Dharamshala,Snow,5,3030
Jodhpur,Clouds,3,3900
Manali,Clear,1,2420
Thiruvananthapuram,Rain,1,1620
Pune,Clouds,2,1900
Ooty,Clouds,5,5710
Shirdi,Clear,3,2380
Srinagar,Clouds,4,2540
Manali,Rain,2,3390
Delhi,Clear,5,7650
Dharamshala,Clear,2,1720
Chennai,Rain,2,5270
Alleppey,Rain,4,3090
Jodhpur,Clear,4,4490
Ahmedabad,Fog,2,1910
Manali,Clear,3,3180
Ahmedabad,Clouds,1,1500
Ooty,Clear,2,3000
Ayodhya,Rain,1,2080
Nashik,Clear,1,1410
Tirupati,Rain,3,2870
Pune,Rain,5,3870
Jodhpur,Clear,3,3610
Aurangabad,Rain,4,2740
Bengaluru,Clouds,5,7720
Hampi,Clouds,2,3500
Prayagraj,Clear,5,3630
Kodaikanal,Rain,5,6230
Somnath,Heavy Rain,3,2640
Prayagraj,Rain,2,2530
Nashik,Clear,3,2080
Kodaikanal,Clear,2,2830
Varanasi,Clear,3,2130
Udaipur,Clear,5,5320
Jaisalmer,Clear,3,3370
Jaisalmer,Clear,2,3040
Delhi,Clear,1,3590
Delhi,Fog,4,5360
Ajmer,Clear,4,4260
Pushkar,Clear,3,2120
Shirdi,Clear,3,2350
Vaishno Devi (Katra),Clouds,5,3530
Dwarka,Rain,2,2380
Tirupati,Clear,4,3080
Agra,Heavy Rain,2,3610
Jodhpur,Clear,5,5640
Prayagraj,Clear,4,3070
Ayodhya,Clouds,4,3230
Shirdi,Clouds,1,1950
Vaishno Devi (Katra),Fog,5,3180
Jaipur,Clear,2,3180
Rameswaram,Clear,1,1500
Somnath,Rain,5,4330
Kanyakumari,Clear,2,1940
Aurangabad,Clouds,5,3620
Munnar,Clouds,4,4180
Mysuru,Clear,2,1860
Pushkar,Clouds,3,2200
Bengaluru,Heavy Rain,4,7060
Rameswaram,Clouds,1,1550
Lucknow,Heavy Rain,1,1780
Agra,Clear,4,4330
Prayagraj,Clouds,4,3070
Bengaluru,Clear,1,3320
Ooty,Clear,5,5130
Lucknow,Clouds,1,1650
Kanyakumari,Clear,1,1580
Rishikesh & Haridwar,Rain,1,1960
Srinagar,Heavy Snow,4,2670
Madurai,Clear,1,1560
Hampi,Clear,2,3120
Coorg,Rain,4,2720
Udaipur,Clouds,5,5660
Pune,Storm,3,2530
Aurangabad,Clear,2,1910
Rameswaram,Clouds,4,2550
Alleppey,Clouds,5,3370
Darjeeling,Clear,1,1490
Vijayawada,Rain,2,2150
Munnar,Heavy Rain,2,3330
Kochi,Heavy Rain,3,2420
Dharamshala,Fog,3,2090
Ajmer,Rain,4,5380
Bengaluru,Clear,5,7340
Kodaikanal,Rain,2,3190
Ajmer,Clear,1,2740
Pune,Clear,1,1430
Vaishno Devi (Katra),Clear,1,1580
Statue of Unity (Kevadia),Clear,4,2510
Agra,Rain,5,6810
Goa,Clouds,3,3910
Pushkar,Storm,1,1800
Amritsar,Clear,1,2520
Varanasi,Clear,5,3140
Varanasi,Fog,3,2040
Madurai,Clear,3,1960
Lucknow,Heavy Rain,4,3100
Vaishno Devi (Katra),Rain,4,2810
Madurai,Clear,2,1770
Pune,Rain,3,2230
Nashik,Clear,5,3230
Somnath,Rain,3,2850
Darjeeling,Snow,4,2480
Shimla,Clear,3,2120
Mumbai,Rain,3,2200
Hampi,Rain,5,6470
Agra,Clear,5,5280
Coorg,Clouds,1,1560
Nashik,Heavy Rain,4,2800
Kochi,Fog,3,2020
Kanyakumari,Clear,5,3370
Agra,Rain,2,3610
Udaipur,Clear,1,2720
Bengaluru,Clear,2,4160
Tirupati,Clouds,1,1810
Statue of Unity (Kevadia),Storm,5,4040
Statue of Unity (Kevadia),Clear,3,2100
Shimla,Clouds,4,2720
Kodaikanal,Clear,1,2300
Statue of Unity (Kevadia),Heavy Rain,1,1800
Statue of Unity (Kevadia),Clear,3,1970
Statue of Unity (Kevadia),Clouds,3,2250
Aurangabad,Rain,3,2320
Mathura & Vrindavan,Clear,4,2460
Shirdi,Clear,1,1790
Rishikesh & Haridwar,Clouds,2,2300
Kanyakumari,Heavy Rain,4,2980
Thiruvananthapuram,Rain,2,2010
Aurangabad,Heavy Rain,5,3670
Amritsar,Rain,5,6450
Vijayawada,Clear,2,1890
Statue of Unity (Kevadia),Clear,4,2700
Pune,Rain,2,1980
Bengaluru,Rain,4,7480
Tirupati,Rain,1,2070
Thiruvananthapuram,Clear,2,1750
Udaipur,Clear,2,3120
Rishikesh & Haridwar,Snow,5,3990
Ajmer,Rain,3,3850
Munnar,Heavy Rain,1,2680
Lucknow,Fog,1,1550
Alleppey,Clear,2,1690
Kolkata,Rain,2,5270
Shirdi,Clear,1,1880
Dwarka,Clouds,1,1860
Delhi,Clear,2,4280
Vijayawada,Clear,5,3090
Bengaluru,Clouds,3,4700
Ooty,Clear,5,5500
Shimla,Heavy Snow,1,1580
Delhi,Fog,5,7380
Kolkata,Heavy Rain,4,7390
Vijayawada,Clear,4,2450
Tirupati,Clear,3,2450
Ahmedabad,Clear,3,2050
Shirdi,Clear,3,2550
